Season,Date,GameID,posteam,DefensiveTeam,qtr,down,ydstogo,yrdline100,PlayType,Yards.Gained,PassLocation,RunLocation,RushAttempt,PassAttempt,QBHit,Touchdown,Fumble,InterceptionThrown,Accepted.Penalty,Penalty.Yards,PenaltyType,PenalizedTeam,PenaltySide
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,61.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,2.0,10,61.0,Run,2,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,3.0,8,59.0,Pass,0,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,4.0,8,59.0,Punt,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,82.0,Pass,20,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,62.0,Run,3,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,2.0,7,59.0,Pass,8,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,51.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,2.0,10,51.0,Pass,10,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,41.0,Pass,5,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,2.0,5,36.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,31.0,Pass,0,middle,,0,1,0,0,0,1,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,1.0,10,80.0,Run,-1,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,2.0,11,81.0,Run,8,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,3.0,3,73.0,Pass,0,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,1,4.0,3,73.0,Punt,14,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,1.0,10,80.0,Run,-1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,2.0,11,81.0,Run,8,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,3.0,3,73.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,4.0,3,73.0,Punt,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,1.0,10,76.0,Pass,68,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,1.0,8,8.0,Run,0,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,2.0,8,8.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,3.0,8,8.0,Pass,0,middle,,0,1,0,0,0,1,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,1.0,10,56.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,2,2.0,10,56.0,Pass,2,left,,0,1,0,0,0,0,0,0,,,None
